X,Y,Name,description,altitudeMode,X_ADDR,ADDRESSPOSTALCODE,ADDRESSFLOORNUMBER,NAME2,HYPERLINK,PHOTOURL,ADDRESSBUILDINGNAME,FMEL_UPD_D,LANDYADDRESSPOINT,ADDRESSUNITNUMBER,SHAPE,Y_ADDR,ADDRESSSTREETNAME,INC_CRC,LANDXADDRESSPOINT,Field_1,ADDRESSBLOCKHOUSENUMBER,DESCRIPTION2
103.944262496758,1.34930318437135,Tampines Secondary School,"Opening Hours (Indoor Sports Hall):   NA   Opening Hours (Field):   Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm   Facilities:   Chargeable Field   Sports   Football",clampToGround,40346.8266,529427,,,"<a target=""_blank"" href=""http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y"">http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y</a>",,,4/17/2014 8:53:28 AM,36824.8881,,Point,36824.8881,252 Tampines St 12,1E856F8B84A6907E,40346.8266,Tampines Secondary School,,
103.744953391926,1.36364885874493,Dunearn Secondary School,"Opening Hours (Indoor Sports Hall):   NA   Opening Hours (Field):   Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm   Facilities:   Chargeable Field   Sports   Football",clampToGround,18165.9956,659204,,,"<a target=""_blank"" href=""http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y"">http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y</a>",,,4/17/2014 8:53:28 AM,38411.0587,,Point,38411.0587,21 Bukit Batok West Avenue 2,B1BCE055054BACA3,18165.9957,Dunearn Secondary School,,
103.842600373408,1.36735900375608,Ang Mo Kio Secondary School,"Opening Hours (Indoor Sports Hall):   Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm   Opening Hours (Field):   Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm   Facilities:   Chargeable Field, Indoor Sports Hall   Sports   Football, Badminton",clampToGround,29032.9523,569362,,,"<a target=""_blank"" href=""http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y"">http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y</a>",,,4/17/2014 8:53:28 AM,38821.1291,,Point,38821.1291,6 Ang Mo Kio Street 22,68FA02399A41CD94,29032.9524,Ang Mo Kio Secondary School,,
103.746993419646,1.40282338927194,Unity Primary School,"Opening Hours (Indoor Sports Hall):   Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm   Opening Hours (Field):   Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm   Facilities:   Free To Play Field, Indoor Sports Hall   Sports   Free Play, Badminton",clampToGround,18393.1845,688268,,,"<a target=""_blank"" href=""http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y"">http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y</a>",,,4/17/2014 8:53:28 AM,42742.7761,,Point,42742.7761,21 Choa Chu Kang Crescent,5C0FC47A1DE4500F,18393.1845,Unity Primary School,,
103.74603614526,1.39964246742787,Unity Secondary School,"Opening Hours (Indoor Sports Hall):   Fri: 7.00 pm to 9.00pm, Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm   Opening Hours (Field):   Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm   Facilities:   Chargeable Field, Indoor Sports Hall   Sports   Football, Badminton",clampToGround,18286.6397,689143,,,"<a target=""_blank"" href=""http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y"">http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y</a>",,,4/17/2014 8:53:28 AM,42391.0494,,Point,42391.0493,20 Choa Chu Kang St 62,3EE5FB30C7972467,18286.6397,Unity Secondary School,,
103.760128827342,1.38782283670552,West Spring Secondary School,"Opening Hours (Indoor Sports Hall):   Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm   Opening Hours (Field):   Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm   Facilities:   Chargeable Field, Indoor Sports Hall   Sports   Football, Badminton",clampToGround,19854.9259,677737,,,"<a target=""_blank"" href=""http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y"">http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y</a>",,,4/17/2014 8:53:28 AM,41084.0398,,Point,41084.0397,61 Senja Road,B717DD19E1823593,19854.9259,West Spring Secondary School,,
103.701694634129,1.35357878210155,Westwood Secondary School,"Opening Hours (Indoor Sports Hall):   NA   Opening Hours (Field):   Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm   Facilities:   Chargeable Field   Sports   Football",clampToGround,13351.7378,648350,,,"<a target=""_blank"" href=""http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y"">http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y</a>",,,4/17/2014 8:53:28 AM,37297.778,,Point,37297.778,11 Jurong West Street 25,25AF496D1330F134,13351.7378,Westwood Secondary School,,
103.790389620464,1.4330580597091,Woodgrove Primary School,"Opening Hours (Indoor Sports Hall):   NA   Opening Hours (Field):   Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm   Facilities:   Free To Play Field   Sports   Free Play",clampToGround,23222.6545,738079,,,"<a target=""_blank"" href=""http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y"">http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y</a>",,,4/17/2014 8:53:28 AM,46085.841,,Point,46085.841,2 Woodlands Drive 14,A6B7F3AFAD14A4B7,23222.6545,Woodgrove Primary School,,
103.796316545228,1.42805270104333,Woodgrove Secondary School,"Opening Hours (Indoor Sports Hall):   NA   Opening Hours (Field):   Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm   Facilities:   Chargeable Field   Sports   Football",clampToGround,23882.223,738990,,,"<a target=""_blank"" href=""http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y"">http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y</a>",,,4/17/2014 8:53:28 AM,45532.362,,Point,45532.3619,3 Woodlands Ave 6,CCB609234EE1D89B,23882.223,Woodgrove Secondary School,,
103.791771693337,1.43674638194914,Woodlands Primary School,"Opening Hours (Indoor Sports Hall):   NA   Opening Hours (Field):   Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm   Facilities:   Free To Play Field   Sports   Free Play",clampToGround,23376.4658,738853,,,"<a target=""_blank"" href=""http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y"">http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y</a>",,,4/17/2014 8:53:28 AM,46493.6744,,Point,46493.6743,10 Woodlands Drive 50,6F6CB38C68CB73CE,23376.4658,Woodlands Primary School,,
