"name","lon","lat","category"
"The Linq @ Beauty World",103.7763447,1.3409604,"Condominiums"
"The Landmark",103.8578797,1.3023045,"Condominiums"
"Grange 1866",103.8290368,1.2997566,"Condominiums"
"Cairnhill 16",103.8379275,1.3085599,"Condominiums"
"Jervois Prive",103.8183393,1.2952068,"Condominiums"
"The Atelier",103.8416272,1.3127907,"Condominiums"
"Sunstone Hill",103.9091282,1.3260001,"Condominiums"
"10 Evelyn",103.8402834,1.3161038,"Condominiums"
"The Addition",103.8672118,1.3307749,"Condominiums"
"Amber 45",103.901821,1.302636,"Condominiums"
"Queens Peak",103.806878,1.2945024,"Condominiums"
"38 Jervois",103.822762,1.2941741,"Condominiums"
"Gem Residences",103.8510668,1.3394315,"Condominiums"
"Parc Riviera",103.7528387,1.3207162,"Condominiums"
"Park Place Residences At Plq",103.8929448,1.3166948,"Condominiums"
"Sturdee Residences",103.8588965,1.313122,"Condominiums"
"The Alps Residences",103.9297365,1.3553163,"Condominiums"
"The Clement Canopy",103.7684933,1.3073069,"Condominiums"
"8 Saint Thomas",103.8363215,1.2960965,"Condominiums"
"Highline Residences",103.8298123,1.2851558,"Condominiums"
"Kallang Riverside",103.8682849,1.3070353,"Condominiums"
"Kingsford Waterbay",103.9033261,1.3748577,"Condominiums"
"Neem Tree",103.8512643,1.3273984,"Condominiums"
"Sophia Hills",103.8466648,1.3014663,"Condominiums"
"The Poiz Residences",103.868018,1.3313817,"Condominiums"
"3 Orchard By-The-Park",103.8247694,1.3032505,"Condominiums"
"6 Derbyshire",103.8460141,1.3158526,"Condominiums"
"Commonwealth Towers",103.805899,1.2957276,"Condominiums"
"Duo Residences",103.8585649,1.3001026,"Condominiums"
"Hillion Residences",103.7641767,1.3785935,"Condominiums"
"Lakeville",103.725291,1.3456281,"Condominiums"
"Marina One Residences",103.8536086,1.2773465,"Condominiums"
"New Futura",103.8340078,1.2985307,"Condominiums"
"Sims Urban Oasis",103.8807642,1.3190239,"Condominiums"
"The Crest",103.8198784,1.2928729,"Condominiums"
"The Trilinq",103.7620265,1.3185274,"Condominiums"
"V On Shenton",103.8491216,1.2770341,"Condominiums"
"26 Newton",103.8415977,1.3156897,"Condominiums"
"Forte Suites",103.8518538,1.3178,"Condominiums"
"Fulcrum",103.884906,1.298745,"Condominiums"
"Gramercy Park",103.8265543,1.2983473,"Condominiums"
"Hillsta",103.7566142,1.3761225,"Condominiums"
"Liv On Sophia",103.8480048,1.3011037,"Condominiums"
"Lloyd Sixtyfive",103.8390159,1.2973148,"Condominiums"
"Marine Blue",103.9051304,1.3036225,"Condominiums"
"Robinson Suites",103.8498409,1.2810504,"Condominiums"
"Sky Vue",103.8507812,1.3524626,"Condominiums"
"South Beach Residences",103.8557465,1.2940548,"Condominiums"
"The Line @ Tanjong Rhu",103.8847976,1.2983426,"Condominiums"
"8 Farrer Suites",103.8547637,1.3148311,"Condominiums"
"Bartley Residences",103.881214,1.3429598,"Condominiums"
"OUE Twin Peaks",103.8337341,1.2994363,"Condominiums"
"Sky Habitat",103.8518105,1.3523267,"Condominiums"
"The Luxurie",103.8963964,1.3890703,"Condominiums"
"The Nassim",103.8225536,1.3063658,"Condominiums"
"The Sorrento",103.7662528,1.2956947,"Condominiums"
"Arc at Tampines",103.9286312,1.3503016,"Condominiums"
"Concourse Skyline",103.8619673,1.3005591,"Condominiums"
"Riverside Melodies",103.8644271,1.3274381,"Condominiums"
"Sculptura Ardmore",103.8299749,1.3091003,"Condominiums"
"SilverSea",103.901739,1.299631,"Condominiums"
"TwentyOne Angullia Park",103.8298516,1.3038017,"Condominiums"
"Waterview",103.9263329,1.3488443,"Condominiums"
"Laverne's Loft",103.9102755,1.3112775,"Condominiums"
"Marina Bay Suites",103.8522175,1.2803498,"Condominiums"
"Prive",103.8522688,1.2949233,"Condominiums"
"Spottiswoode Residences",103.8368293,1.2754828,"Condominiums"
"The Interlace",103.8474991,1.3148142,"Condominiums"
"The Vermont On Cairnhill",103.8384216,1.308784,"Condominiums"
"White House Residences",103.825256,1.317801,"Condominiums"
"Mi Casa",103.747689,1.3839054,"Condominiums"
"Parvis",103.8007994,1.3105012,"Condominiums"
"The Mezzo",103.8525833,1.3205,"Condominiums"
"111 Emerald Hill",103.8391989,1.305099,"Condominiums"
"Marina Collection",103.8398767,1.2442761,"Condominiums"
"One Shenton",103.8506561,1.2795839,"Condominiums"
"The Ritz-Carlton Residences",103.8361266,1.3079634,"Condominiums"
"The Rochester Residences",103.7881836,1.3055942,"Condominiums"
"Aalto",103.897511,1.2981271,"Condominiums"
"Latitude",103.8281783,1.2961748,"Condominiums"
"Marina Bay Residences",103.8550598,1.2796864,"Condominiums"
"The Adara",103.907779,1.3064499,"Condominiums"
"The Oceanfront @ Sentosa Cove",103.8428069,1.24404,"Condominiums"
"Leonie Parc View",103.8342226,1.298958,"Condominiums"
"Rivage",103.8887147,1.299607,"Condominiums"
"The Ford @ Holland",103.793691,1.313498,"Condominiums"
"The Sail @ Marina Bay",103.8528303,1.2812533,"Condominiums"
"Citylights",103.8629417,1.3084931,"Condominiums"
"The Chuan",103.8607567,1.3499436,"Condominiums"
"Leonie Suites",103.8316934,1.2987119,"Condominiums"
"Glentrees",103.7851502,1.3160896,"Condominiums"
"Leonie Hill Residences",103.833397,1.2973204,"Condominiums"
"Caribbean At Keppel Bay",103.8161451,1.2675272,"Condominiums"
"Water Place",103.8723937,1.2966425,"Condominiums"
"Papillon",103.8490208,1.3269135,"Condominiums"
"The Madeira",103.749499,1.356952,"Condominiums"
"Livingston Mansions",103.9149795,1.3127751,"Condominiums"
"Guilin View",103.7527489,1.3553281,"Condominiums"
"Mutiara Crest",103.8292618,1.2958404,"Condominiums"
"Woodsvale",103.8051184,1.4441395,"Condominiums"
"Aspen Heights",103.8399673,1.2947781,"Condominiums"
"The Makena",103.8945623,1.2972587,"Condominiums"
"Costa Rhu",103.8671087,1.2972109,"Condominiums"
"Lotus At Pasir Panjang",103.7914239,1.2770371,"Condominiums"
"The Bayshore",103.9392756,1.3127006,"Condominiums"
"Clydesview",103.8183043,1.2942807,"Condominiums"
"Mayfair Gardens",103.7810968,1.337818,"Condominiums"
"Beauty World Centre",103.7762593,1.3423741,"Condominiums"
"Beverly Hill",103.825579,1.298432,"Condominiums"
"Wing On Life Garden",103.8315245,1.3175345,"Condominiums"
"Amber Sea",103.9003142,1.3016048,"Condominiums"
"Bukit Timah Collection",103.7786609,1.3387148,"Condominiums"
"Normanton Park",103.7925971,1.2874734,"Condominiums"
"Parc Central Residences",103.9305669,1.3564579,"Condominiums"
"Peak Residence",103.840958,1.32534,"Condominiums"
"Upper Serangoon Road",103.8824703,1.3576474,"Condominiums"
"Vanilla",103.8305037,1.2823697,"Condominiums"
"City Suites",103.8526288,1.3215002,"Condominiums"
"Bartley Ridge",103.8806705,1.3409256,"Condominiums"
"CityLife @ Tampines",103.9411425,1.3594864,"Condominiums"
"Echelon",103.8179064,1.2905851,"Condominiums"
"Jewel @ Buangkok",103.8921897,1.3812071,"Condominiums"
"Lush Acres",103.879814,1.3948275,"Condominiums"
"18 Woodsville",103.8681311,1.3296408,"Condominiums"
"120 Grange",103.8255432,1.2999964,"Condominiums"
"19 Nassim",103.8213309,1.3066909,"Condominiums"
"3 Cuscaden",103.8258433,1.3049629,"Condominiums"
"77 @ East Coast",103.9274167,1.3132782,"Condominiums"
"8 Hullet",103.838775,1.3031043,"Condominiums"
"Alexandra Road",103.8055757,1.2884712,"Condominiums"
"BUKIT 828",103.762974,1.373267,"Condominiums"
"Carpmael Thirty-Eight",103.8978945,1.3131987,"Condominiums"
"Casa Al Mare",103.956669,1.377608,"Condominiums"
"Cheong Chin Nam Road",103.7751423,1.3436653,"Condominiums"
"Daintree Residence",103.7705951,1.3400807,"Condominiums"
"Emerald Hill",103.8393188,1.3030712,"Condominiums"
"Ewe Boon Road",103.8308603,1.3166272,"Condominiums"
"Grandeur Park Residences",103.9447499,1.3256098,"Condominiums"
"Harbour View Gardens",103.785307,1.27891,"Condominiums"
"Haus on Handy",103.8464957,1.2998118,"Condominiums"
"Hillview Avenue",103.7638949,1.3596007,"Condominiums"
"Horne Road",103.8614349,1.3097393,"Condominiums"
"Hyll On Holland",103.802385,1.31071,"Condominiums"
"JadeScape",103.8393121,1.3517742,"Condominiums"
"Jervois Treasures",103.823568,1.2928692,"Condominiums"
"Kandis Residence",103.8370607,1.4569634,"Condominiums"
"La Mariposa",103.9043503,1.3126052,"Condominiums"
"Laurel Tree",103.758308,1.353079,"Condominiums"
"Mayfair Gardens",103.7810968,1.337818,"Condominiums"
"Midwood",103.7641958,1.3629411,"Condominiums"
"Mont Botanik Residence ",103.7614851,1.3575325,"Condominiums"
"Mooi Residences",103.798468,1.3126903,"Condominiums"
"Myra",103.8745213,1.2998491,"Condominiums"
"Neu At Novena",103.8459714,1.3196193,"Condominiums"
"Ola",103.8548685,1.2798897,"Condominiums"
"Olloi",103.8997533,1.315002,"Condominiums"
"Opus @ Grange",103.8307763,1.2997186,"Condominiums"
"Paramount Shopping Centre",103.9029349,1.3037862,"Condominiums"
"Parc Botannia",103.8746446,1.3987056,"Condominiums"
