"name","lon","lat"
"Boathouse Residences",103.9028493,1.375594
"Cecil Suites",103.883257,1.3147045
"Cradels",103.8539419,1.3248916
"Daisy Suites",103.8683918,1.3437987
"Devonshire 12",103.8379186,1.2980068
"Devonshire Residences",103.8373393,1.2989615
"Edenz Loft",103.8834877,1.3123223
"Edenz Suites",103.8856618,1.3128903
"euHabitat",103.9065485,1.3279129
"Everitt Edge",103.9017929,1.313721
"Gaia",103.7954962,1.2761928
"Gambir Ridge",103.8755629,1.3445074
"H2O Residences",103.8802068,1.392859
"Hallmark Residences",103.8308514,1.3163669
"Hedges Park Condominium",103.9666456,1.3549753
"Heron Bay",103.9036575,1.3758885
"Hijauan",103.8412371,1.3036171
"Icon @ Pasir Panjang",103.7858706,1.279111
"Katong Regency",103.8946407,1.3147403
"Kovan Regency",103.8857994,1.3631018
"Le Regal",103.880081,1.312559
"Leville iSuites",103.902633,1.3058873
"Liberte",103.836508,1.314032
"Meridian 38",103.9108308,1.3104592
"Natura@Hillview",103.7589444,1.3531509
"Naung Residence",103.8929324,1.3680068
"Ness",103.8869076,1.3126687
"Nine Residences",103.841316,1.4329532
"Novena Regency",103.8417736,1.3209485
"Okio",103.8530565,1.3221632
"One Eighties Residences",103.9052905,1.3148468
"Palm Isles",103.9642265,1.3564812
"Parc Olympia",103.9655338,1.3554297
"Paterson Collection",103.8304142,1.3004844
"Qube Suites",103.9080711,1.3298124
"Regent Residences",103.8645265,1.3242473
"Rezi 26",103.885148,1.312971
"Ripple Bay",103.9610321,1.3772431
"River Isles",103.9126987,1.397384
"Riversound Residence",103.9025174,1.3812336
"Robin Residences",103.828074,1.3190877
"RV Point",103.8421768,1.293955
"RV Residences",103.8284679,1.2945737
"Sea Esta",103.9595347,1.3772514
"Seletar Park Residence",103.8695158,1.3861264
"Serenity Breeze",103.9122235,1.3137932
"Shangri-La Residences",103.8253016,1.31074
"Shiro",103.892701,1.327066
"Silverscape",103.8871652,1.312578
"Sky Green",103.7201921,1.4289034
"Skyline",103.8584275,1.2842867
"Skyline @ Orchard Boulevard",103.8294849,1.3032034
"Skyline Residences",103.8076342,1.2717846
"Space @ Kovan",103.876902,1.3546237
"Stellar RV",103.8287726,1.295188
"Suites @ Braddell",103.8686167,1.3435384
"The Cristallo",103.8255432,1.3035807
"The Nautical",103.8244608,1.4436047
"The Palette",103.9451532,1.3702733
"The Peak @ Cairnhill II",103.837991,1.308003
"The Promenade@Pelikat",103.8875314,1.3551225
"The Rainforest",103.7487341,1.3838135
"The Seawind",103.9148407,1.3112999
"The Tampines Trilliant",103.9405217,1.3592112
"The Viridian",103.851566,1.3260245
"Thomson Grand",103.830384,1.3654565
"Three 11",103.829014,1.3568
"Treasures @ G20",103.8815883,1.3114027
"Twin Waterfalls",103.8974092,1.4023474
"UP@Robertson Quay",103.8376588,1.2907234
"Urban Heritage",103.8533539,1.3217538
"Waterfront Isle",103.9278666,1.3387495
"Waterwoods",103.9127924,1.3910681
"Woodhaven",103.7841299,1.4302283
"Evergreen Residences",103.8824793,1.3110493
"Jjh Residences",103.871332,1.346442
"Sarkies Green",103.8359936,1.3138471
"7 on Chapel",103.907374,1.30655
"Hana",103.8286111,1.3061111
"The Coterie @ Holland",103.8046255,1.3109604
"Victory 8",103.8237638,1.4420242
"10 Shelford",103.8124981,1.3258989
"16 @ Amber",103.898841,1.299536
"368 Thomson",103.8419479,1.3272054
"38 I Suites",103.8963123,1.3117686
"76 Shenton",103.8455345,1.273423
"91 Marshall",103.9010989,1.3065383
"Altez",103.8443267,1.2743542
"Ardmore 3",103.8285879,1.3082244
"Austville Residences",103.9009335,1.3813308
"Belysa",103.9417265,1.3741117
"Blossom Residences",103.7701863,1.3893153
"Buckley Classique",103.8402335,1.318089
"Cardiff Residence",103.8658756,1.3550779
"Casa Cambio",103.8765338,1.3542042
"Centra Heights",103.8865776,1.3163094
"Centra Residence",103.8758454,1.3129037
"Central Imperial",103.879236,1.3119808
"Centro Residences",103.8487088,1.3705373
"Cityscape @ Farrer Park",103.8512795,1.3177793
"Cyan",103.8304625,1.318146
"D'Weave",103.8905714,1.3156618
"D'Zire",103.8822243,1.3682892
"East Village",103.9463496,1.3318464
"Eight Courtyards",103.8306871,1.4386273
"EiS Residences",103.8994263,1.3078029
"Flamingo Valley",103.9222543,1.3174915
"Foresque Residences",103.7759302,1.3686467
"Gilstead Two",103.8384991,1.3152175
"Guillemard Edge",103.8861671,1.3118382
"H Residences",103.9088356,1.3158028
"Harbour Suites",103.8275151,1.2721986
"Horizon Residences",103.784425,1.281957
"Idyllic Suites",103.8864169,1.3129825
"Jupiter 18",103.900621,1.3156433
"La Fleur",103.884628,1.3124155
"La Vida @ 130",103.9149755,1.3137274
"Le Nouvel Ardmore",103.827866,1.310248
"Le Somme",103.8583515,1.311234
"Levenue",103.913735,1.3283879
"Lincoln Suites",103.842927,1.3170783
"Loft @ Holland",103.796871,1.3123669
"Loft @ Nathan",103.8274315,1.2943763
"M66",103.8645698,1.3287308
"Moda",103.9029801,1.304494
"My Manhattan",103.9535259,1.3417845
"Nathan Suites",103.8269575,1.2949977
"Nin Residence",103.8699755,1.3327092
"Nottinghill Suites",103.7691166,1.3398691
"Nouvel 18",103.8281162,1.3110614
"Oceanfront Suites",103.9608866,1.3790136
"Onerobey",103.8819737,1.3669744
"Oxley Residence",103.8408481,1.2968238
"Parc Rosewood",103.7853842,1.4278986
"Parc Vera",103.8951335,1.3637034
"Park Residences Kovan",103.8819539,1.3579349
"Prime Residence",103.8824372,1.3112274
"Primedge",103.8880619,1.3125462
"Rangoon 88",103.8542311,1.3142276
"Riverbay",103.8626677,1.3280813
"RiverParc Residence",103.917611,1.397936
"Riviera 38",103.8636299,1.3283923
"Seastrand",103.9608545,1.3763518
"Sims Edge",103.8879365,1.3163875
"Skysuites 17",103.8478334,1.3273665
"Skysuites@Anson",103.8447682,1.2744995
"Smart Suites",103.8838203,1.3151489
"Sophia Residence",103.8484781,1.3017592
"Spottiswoode 18",103.8375907,1.2754518
"Starlight Suites",103.8371508,1.2938906
"Studio8",103.8730326,1.3111189
"Suites @ Bukit Timah",103.7735951,1.3404921
"Suites @ Guillemard",103.891849,1.3125805
"Suites 28",103.8860985,1.3126439
"Suites At Orchard",103.8458381,1.3004323
"Sunny Lodge",103.9068273,1.3243116
"Terrasse",103.8769423,1.3683663
"The Boutiq",103.8386086,1.296614
"The Canopy",103.8406771,1.2871148
"The Cape",103.9013291,1.3006884
"The Foresta @ Mount Faber",103.8137,1.2705393
"The Greenwich",103.8687182,1.3869314
"The Interweave",103.8533913,1.3251516
"The Lakefront Residences",103.7194317,1.3425817
"The Lanai",103.8283333,1.3052778
"The Lenox",103.9114036,1.3187139
"The Lush",103.9050239,1.3091077
"The Meyerise",103.8926786,1.2973585
"The Miltonia Residences",103.848154,1.4169702
"The MKZ",103.8466356,1.3065643
"The Peak @ Cairnhill I",103.8383647,1.3081005
"The Sanctuary @ Geylang",103.8864963,1.3134721
"The Shore Residences",103.9009506,1.3028111
"The Tennery",103.760152,1.380337
"The Urbanite",103.8484587,1.3134633
"The Vision",103.7649435,1.2983337
"Tomlinson Heights",103.8268428,1.3030376
"Treescape",103.9165725,1.3111438
"Uber 388",103.9389383,1.3141792
"Urban Residences",103.880054,1.350805
"Vacanza @ East",103.9145249,1.3294038
"Vibes @ East Coast",103.9117599,1.3094781
"Vibes @ Kovan",103.877678,1.3549579
"Viva Vista",103.7861058,1.279654
"Watercolours",103.9597362,1.3763964
"Waterfront Gold",103.9286513,1.3383943
"Waterscape at Cavenagh",103.8407685,1.3042158
"Ceylon Point",103.9009412,1.308551
"iLiv@Grange(Enbloc)",103.8289114,1.2997319
"Spring Residences",103.8304162,1.3160076
"The Blissville",103.9093054,1.3236346
"Cape Royale",103.8396544,1.2418412
"Kanopy @ 77",103.9119795,1.3132229
"Ardmore Residence",103.8284314,1.3101
"Adam Green",103.8132971,1.3251363
"Fernhill Residences",103.824077,1.31386
"Verdana Villas",103.8687535,1.358556
"21 Richards",103.8816185,1.3619462
"448 @ East Coast",103.9134222,1.3088897
"8 Raja",103.8422905,1.3266474
"Adria",103.84629,1.316448
"Ascentia Sky",103.8170745,1.2909313
"Auralis",103.916033,1.309781
"Boulevard Vue",103.8286751,1.3039134
"Canberra Residences",103.8250973,1.4450317
"Centennia Suites",103.8337292,1.2926466
"Centra Loft",103.8884234,1.3148696
"City Studios",103.852651,1.3100719
"Coralis",103.905792,1.3045739
"Cube 8",103.8414458,1.3281407
"Dorsett Residences",103.840535,1.280463
"Duchess Royale",103.8062102,1.3242645
"Espada",103.8367172,1.2973559
"Esparina Residences",103.8914636,1.3817456
"First Point Suites",103.9102373,1.3163978
